Plant_ID,Block,Position ,Treatment,Rhizobia,Bacillus ,Family,Leaf_no_0,Leaf_no_1,Leaf_no_2,Leaf_no_3,Leaf_no_4,Leaf_no_5,Leaf_no_6,Leaf_no_7,Leaf_no_8,EFN_no_9,Leaf_no_10,Death_day,Nodule_no,Lifespan_days,Aboveground_g,Belowground_g,Dead,Nodule_weight_ug,Nodule_no_weighed
TH001,A,17,CC,NO,NO,BL5,1,2,2,2,3,2,4,4,5,1,5,2020-03-04,8,124,0.01269,0.00641,0,1794,5
TH002,A,2,CC,NO,NO,BL5,1,2,2,3,3,3,3,2,2,0,2,2020-03-04,0,124,0.00416,0.00594,0,,
TH004,A,18,CC,NO,NO,BL1,1,2,2,1,2,3,2,1,1,0,1,2020-03-04,0,124,0.0012,0.00243,0,,
TH005,A,4,CC,NO,NO,BL2,1,2,2,1,2,1,NA,NA,NA,NA,NA,2020-01-27,0,87,0.00327,0.00406,1,,
TH008,A,11,RC,YES,NO,BL5,1,2,3,4,4,2,3,3,NA,NA,NA,2020-02-11,0,102,0.0038,0.00236,1,,
TH009,A,12,RC,YES,NO,BL2,1,2,3,4,7,10,11,14,21,16,32,2020-03-04,39,124,0.30758,0.18997,0,4007,5
TH011,A,7,RC,YES,NO,BL2,1,2,4,6,6,5,4,4,4,4,4,2020-03-04,0,124,0.01468,0.01017,0,,
TH013,A,9,LC,NO,YES,BL5,1,2,2,3,2,3,3,2,3,0,2,2020-03-04,0,124,0.0043,0.0035,0,,
TH015,A,13,LC,NO,YES,BL3,1,2,3,2,2,2,2,2,2,0,2,2020-03-04,0,124,0.00464,0.01245,0,,
TH016,A,19,LC,NO,YES,BL4,0,2,2,2,2,2,2,2,2,0,NA,2020-03-01,0,121,0.00517,0.00185,1,,
TH017,A,24,LC,NO,YES,BL1,1,2,2,2,4,4,3,3,3,2,NA,2020-03-01,0,121,0.0039,0.00506,1,,
TH018,A,23,LC,NO,YES,BL1,1,2,3,3,3,3,3,3,3,0,1,2020-03-04,0,124,0.00211,0.00595,0,,
TH019,A,6,RL,YES,YES,BL5,1,2,2,3,5,5,5,4,5,2,9,2020-03-04,17,124,0.02712,0.0163,0,2425,5
TH022,A,16,RL,YES,YES,BL2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-20,0,19,0.0073,0.00645,1,,
TH023,A,5,RL,YES,YES,BL1,1,2,3,4,3,3,1,1,NA,NA,NA,2020-02-11,0,102,0.00367,0.00477,1,,
TH024,A,8,RL,YES,YES,BL1,1,2,4,6,11,19,21,26,35,29,65,2020-03-04,68,124,0.60036,0.21581,0,9279,5
TH025,B,24,CC,NO,NO,BL5,0,2,2,3,3,2,1,2,2,0,2,2020-03-04,0,124,0.00194,0.00409,0,,
TH026,B,15,CC,NO,NO,BL4,1,2,3,3,2,3,3,5,5,1,2,2020-03-04,0,124,0.00472,0.00485,0,,
TH027,B,14,CC,NO,NO,BL4,1,2,3,3,3,2,2,2,3,0,3,2020-03-04,0,124,0.00437,0.00628,0,,
TH028,B,10,CC,NO,NO,BL3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-12,0,11,0.004,0.00043,1,,
TH029,B,22,CC,NO,NO,BL2,1,2,3,3,1,1,1,1,2,0,2,2020-03-04,0,124,0.00677,0.00696,0,,
TH031,B,12,RC,YES,NO,BL5,1,2,3,3,7,9,12,15,18,10,25,2020-03-04,31,124,0.1359,0.13289,0,3178,5
TH032,B,3,RC,YES,NO,BL4,1,2,2,3,5,6,7,11,19,10,31,2020-03-04,54,124,0.3992,0.16608,0,,
TH033,B,6,RC,YES,NO,BL4,1,2,2,5,8,16,21,27,31,27,47,2020-03-04,82,124,0.89107,0.38963,0,12399,5
TH034,B,11,RC,YES,NO,BL3,1,2,3,5,10,22,28,36,42,38,63,2020-03-04,94,124,1.36247,0.54778,0,13740,5
TH035,B,1,RC,YES,NO,BL2,1,2,4,6,11,24,26,33,42,32,63,2020-03-04,115,124,1.41019,0.64814,0,8740,5
TH036,B,9,RC,YES,NO,BL1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-15,0,44,0.00269,0.00103,1,,
TH037,B,4,LC,NO,YES,BL5,1,2,2,3,2,1,2,2,2,0,2,2020-03-04,0,124,0.00267,0.00259,0,,
TH038,B,2,LC,NO,YES,BL4,1,2,3,3,1,2,3,2,2,0,3,2020-03-04,0,124,0.00497,0.00699,0,,
TH039,B,21,LC,NO,YES,BL3,1,2,2,3,2,1,2,2,3,0,6,2020-03-04,2,124,0.00636,0.00459,0,1295,1
TH040,B,23,LC,NO,YES,BL2,1,2,3,3,3,1,2,2,2,0,2,2020-03-04,1,124,0.00442,0.0051,0,1005,1
TH041,B,5,LC,NO,YES,BL2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,2020-01-20,0,80,0.0034,0.00145,1,,
TH042,B,20,LC,NO,YES,BL1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-05,0,34,0.00257,0.00148,1,,
TH043,B,19,RL,YES,YES,BL5,1,2,2,3,6,9,10,10,15,10,21,2020-03-04,26,124,0.15554,0.07755,0,4038,5
TH044,B,13,RL,YES,YES,BL4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-12,0,11,0.00204,NA,1,,
TH045,B,16,RL,YES,YES,BL3,1,2,3,5,11,20,24,28,36,31,48,2020-03-04,79,124,0.85283,0.31646,0,11907,5
TH046,B,8,RL,YES,YES,BL2,1,2,3,6,11,20,25,29,38,29,56,2020-03-04,83,124,1.03921,0.40509,0,10668,5
TH047,B,7,RL,YES,YES,BL2,1,2,4,5,11,20,23,29,35,28,54,2020-03-04,85,124,0.91896,0.33447,0,11091,5
TH048,B,18,RL,YES,YES,BL1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-20,0,19,0.00245,NA,1,,
TH049,C,21,CC,NO,NO,BL5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-12,0,11,0.00082,NA,1,,
TH050,C,13,CC,NO,NO,BL4,1,2,3,3,2,2,1,2,3,0,4,2020-03-04,4,124,0.01407,0.00841,0,1882,2
TH051,C,4,CC,NO,NO,BL3,1,2,2,3,2,2,2,2,3,1,3,2020-03-04,0,124,0.00492,0.01157,0,,
TH052,C,22,CC,NO,NO,BL3,0,2,2,1,3,5,6,7,10,6,22,2020-03-04,NA,124,NA,NA,,,
TH053,C,6,CC,NO,NO,BL2,1,2,3,2,2,NA,NA,NA,NA,NA,NA,2020-01-20,0,80,0.00569,0.01886,1,,
TH054,C,23,CC,NO,NO,BL1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-20,0,19,0.00121,NA,1,,
TH055,C,10,RC,YES,NO,BL5,1,2,2,4,9,21,24,30,35,30,47,2020-03-04,58,124,0.69353,0.31104,0,6469,5
TH057,C,3,RC,YES,NO,BL3,1,2,1,2,5,10,12,15,21,14,37,2020-03-04,52,124,0.43298,0.18604,0,8163,5
TH058,C,15,RC,YES,NO,BL3,1,2,2,4,8,18,23,29,35,27,57,2020-03-04,116,124,1.15973,0.49632,0,5388,5
TH059,C,2,RC,YES,NO,BL2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-20,0,19,0.00057,NA,1,,
TH060,C,17,RC,YES,NO,BL1,1,2,4,6,10,19,24,36,48,37,64,2020-03-04,53,124,0.45484,0.17898,0,10656,5
TH061,C,24,LC,NO,YES,BL5,1,2,3,3,2,3,2,3,2,0,3,2020-03-04,0,124,0.00359,0.00743,0,,
TH063,C,5,LC,NO,YES,BL3,1,2,1,2,2,2,1,1,2,0,NA,2020-03-01,0,121,0.002,0.0023,1,,
TH064,C,20,LC,NO,YES,BL3,1,2,2,2,2,2,NA,NA,NA,NA,NA,2020-01-27,0,87,0.00125,0.00217,1,,
TH065,C,7,LC,NO,YES,BL2,1,2,2,2,2,1,NA,NA,NA,NA,1,2020-03-04,0,124,0.00323,0.00649,0,,
TH067,C,11,RL,YES,YES,BL5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-20,0,19,0.00197,0.00026,1,,
TH068,C,16,RL,YES,YES,BL4,1,2,3,5,11,18,22,26,32,24,47,2020-03-04,88,124,1.33279,0.60164,0,10917,5
TH069,C,14,RL,YES,YES,BL3,1,1,1,2,2,2,2,2,3,0,4,2020-03-04,1,124,0.00314,0.00165,0,,
TH071,C,19,RL,YES,YES,BL2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-20,0,19,0.00852,0.00055,1,,
TH072,C,1,RL,YES,YES,BL1,1,2,3,5,16,27,33,37,49,43,87,2020-03-04,69,124,0.92107,0.26981,0,10622,5
TH074,D,4,CC,NO,NO,BL4,1,2,2,3,1,2,2,3,2,0,2,2020-03-04,0,124,0.00457,0.005,0,,
TH075,D,1,CC,NO,NO,BL3,1,2,1,2,2,3,2,3,NA,NA,2,2020-03-04,0,124,0.00149,0.00282,0,,
TH076,D,23,CC,NO,NO,BL4,1,2,2,2,3,1,1,1,1,0,2,2020-03-04,0,124,0.0235,0.00428,0,,
TH078,D,6,CC,NO,NO,BL1,1,2,2,3,2,NA,NA,NA,NA,NA,NA,2020-01-20,0,80,0.00178,0.00091,1,,
TH080,D,7,RC,YES,NO,BL4,1,2,3,3,5,7,7,12,17,11,29,2020-03-04,44,124,0.28438,0.13709,0,2905,5
TH081,D,20,RC,YES,NO,BL3,1,2,4,6,14,26,29,35,52,37,NA,NA,69,NA,NA,0.77348,NA,7602,5
TH083,D,24,RC,YES,NO,BL2,1,2,4,6,15,25,27,34,40,34,NA,NA,72,NA,NA,0.59722,NA,6662,5
TH084,D,2,RC,YES,NO,BL1,1,2,4,6,12,23,26,35,46,35,87,2020-03-04,97,124,1.13647,0.34237,0,12183,5
TH085,D,12,LC,NO,YES,BL5,1,2,3,3,2,2,2,3,4,0,5,2020-03-04,5,124,0.01207,0.00614,0,1865,2
TH086,D,15,LC,NO,YES,BL4,1,2,2,2,2,2,1,1,1,0,3,2020-03-04,3,124,0.00363,0.00346,0,,
TH088,D,14,LC,NO,YES,BL3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-20,0,19,0.0014,NA,1,,
TH089,D,19,LC,NO,YES,BL3,1,2,2,3,3,2,3,3,2,1,2,2020-03-04,0,124,0.00438,0.00377,0,,
TH090,D,10,LC,NO,YES,BL1,1,2,3,4,1,NA,NA,NA,NA,NA,NA,2020-01-27,0,87,0.0016,0.00164,1,,
TH092,D,13,RL,YES,YES,BL4,1,2,3,5,8,11,14,17,24,15,40,2020-03-04,51,124,0.45703,0.32263,0,8496,5
TH094,D,11,RL,YES,YES,BL3,1,2,1,2,4,4,6,5,5,3,9,2020-03-04,17,124,0.0314,0.01698,0,2971,5
TH095,D,5,RL,YES,YES,BL2,1,2,4,5,12,23,26,33,40,34,59,2020-03-04,71,124,1.05509,0.38338,0,7075,5
TH096,D,8,RL,YES,YES,BL1,1,2,3,5,9,15,18,23,29,22,48,2020-03-04,38,124,0.37668,0.14181,0,11627,5
TH097,E,4,CC,NO,NO,BL5,1,2,1,2,1,1,NA,NA,NA,NA,NA,2020-01-27,0,87,0.00191,0.00585,1,,
TH098,E,11,CC,NO,NO,BL4,1,2,2,2,2,NA,NA,NA,NA,NA,NA,2020-01-20,0,80,0.00338,0.01331,1,,
TH101,E,20,CC,NO,NO,BL1,1,2,3,3,4,3,NA,NA,NA,NA,NA,2020-01-27,0,87,0.00315,0.0029,1,,
TH103,E,24,RC,YES,NO,BL5,1,2,2,3,6,10,10,15,21,14,40,2020-03-04,75,124,0.44447,0.16578,0,5797,5
TH105,E,14,RC,YES,NO,BL3,1,2,2,4,6,10,13,17,22,18,34,2020-03-04,66,124,0.45481,0.15619,0,6556,5
TH106,E,16,RC,YES,NO,BL2,1,2,2,4,7,13,17,22,29,23,47,2020-03-04,67,124,0.73005,0.23077,0,9751,5
TH107 ,E,6,RC,YES,NO,BL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-12,NA,11,NA,NA,1,,
TH108,E,3,RC,YES,NO,BL1,1,2,3,5,11,20,26,33,41,34,64,2020-03-04,96,124,0.81665,0.36869,0,9895,5
TH109,E,7,LC,NO,YES,BL5,1,2,2,2,2,4,5,5,8,3,12,2020-03-04,27,124,0.037,0.0229,0,2278,5
TH110,E,10,LC,NO,YES,BL5,1,2,2,2,2,2,2,3,3,1,4,2020-03-04,0,124,0.00352,0.00425,0,,
TH111,E,12,LC,NO,YES,BL4,1,2,2,3,1,2,1,2,1,0,2,2020-03-04,2,124,0.0032,0.00712,0,,
TH112,E,1,LC,NO,YES,BL3,1,2,2,3,2,2,2,2,2,0,4,2020-03-04,0,124,0.00419,0.0035,0,,
TH113,E,5,LC,NO,YES,BL2,1,2,3,3,1,2,3,2,2,0,2,2020-03-04,0,124,0.00472,0.00767,0,,
TH115,E,8,RL,YES,YES,BL5,1,2,2,4,6,3,3,4,5,3,8,2020-03-04,7,124,0.01301,0.01164,0,2386,5
TH116,E,2,RL,YES,YES,BL5,1,2,2,4,10,19,22,27,32,25,48,2020-03-04,71,124,0.85449,0.31987,0,8087,5
TH118,E,19,RL,YES,YES,BL3,1,2,2,4,10,20,25,27,36,27,41,2020-03-04,57,124,0.58265,0.29642,0,5712,5
TH120,E,18,RL,YES,YES,BL1,1,2,4,6,11,19,21,28,35,29,53,2020-03-04,56,124,0.54803,0.22652,0,7323,5
TH121 ,F,1,RC,YES,NO,BL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-12,NA,11,NA,NA,1,,
TH123,F,3,RL,YES,YES,BL5,1,2,3,5,9,17,20,21,24,13,22,2020-03-04,33,124,0.04729,0.04421,0,4171,5