sample.id	sample.id.clean	nodule.no	population.id	latitude 	longitude 	sample.type	pair	sample.id.pair
184.A1_culture	A1_culture	4	A	26.925556	-82.335281	culture	No	A1
192.A10_culture	A10_culture	3	A	26.925556	-82.335281	culture	No	A10
193.A11_culture	A11_culture	4	A	26.925556	-82.335281	culture	Yes	A11
201.A2_culture	A2_culture	4	A	26.925556	-82.335281	culture	No	A2
209.A5_culture	A5_culture	10	A	26.925556	-82.335281	culture	No	A5
217.A7_culture	A7_culture	3	A	26.925556	-82.335281	culture	Yes	A7
225.A8_culture	A8_culture	2	A	26.925556	-82.335281	culture	Yes	A8
233.A9_culture	A9_culture	3	A	26.925556	-82.335281	culture	Yes	A9
241.BA2_culture	BA2_culture	3	BA	38.63593	-77.539996	culture	No	BA2
242.BA5_culture	BA5_culture	2	BA	38.63593	-77.539996	culture	No	BA5
257.BG1_culture	BG1_culture	12	BG	10.345278	-85.33861111	culture	Yes	BG1
265.BG3_culture	BG3_culture	6	BG	10.345278	-85.33861111	culture	Yes	BG3
273.BG4_culture	BG4_culture	14	BG	10.345278	-85.33861111	culture	Yes	BG4
281.BG5_culture	BG5_culture	8	BG	10.345278	-85.33861111	culture	Yes	BG5
194.BG7_culture	BG7_culture	10	BG	10.345278	-85.33861111	culture	No	BG7
202.BG8_culture	BG8_culture	11	BG	10.345278	-85.33861111	culture	No	BG8
210.BG9_culture	BG9_culture	13	BG	10.345278	-85.33861111	culture	Yes	BG9
218.BI1_culture	BI1_culture	6	BI	10.341746	-85.364976	culture	No	BI1
226.BI2_culture	BI2_culture	8	BI	10.341746	-85.364976	culture	Yes	BI2
234.BI3_culture	BI3_culture	12	BI	10.341746	-85.364976	culture	Yes	BI3
250.BI7_culture	BI7_culture	9	BI	10.341746	-85.364976	culture	No	BI7
258.BI7_culture	BI7_culture	3	BI	10.341746	-85.364976	culture	No	BI7
266.BI9_culture	BI9_culture	13	BI	10.341746	-85.364976	culture	Yes	BI9
274.BJ3_culture	BJ3_culture	12	BJ	10.346475	-85.358367	culture	No	BJ3
282.BJ4_culture	BJ4_culture	12	BJ	10.346475	-85.358367	culture	Yes	BJ4
195.BL1_culture	BL1_culture	12	BL	10.358333	-85.3202778	culture	Yes	BL1
203.BL2_culture	BL2_culture	12	BL	10.358333	-85.3202778	culture	No	BL2
211.BL3_culture	BL3_culture	8	BL	10.358333	-85.3202778	culture	No	BL3
219.BL5_culture	BL5_culture	9	BL	10.358333	-85.3202778	culture	Yes	BL5
227.BL6_culture	BL6_culture	7	BL	10.358333	-85.3202778	culture	Yes	BL6
235.BL7_culture	BL7_culture	9	BL	10.358333	-85.3202778	culture	Yes	BL7
243.BL8_culture	BL8_culture	2	BL	10.358333	-85.3202778	culture	No	BL8
251.BM2_culture	BM2_culture	6	BM	10.442222	-84.00638889	culture	Yes	BM2
259.BM5_culture	BM5_culture	9	BM	10.442222	-84.00638889	culture	Yes	BM5
267.BN1_culture	BN1_culture	10	BN	10.444444	-84.00583333	culture	Yes	BN1
275.BN3_culture	BN3_culture	9	BN	10.444444	-84.00583333	culture	Yes	BN3
283.BN4_culture	BN4_culture	12	BN	10.444444	-84.00583333	culture	Yes	BN4
196.BN5_culture	BN5_culture	8	BN	10.444444	-84.00583333	culture	Yes	BN5
212.BN8_culture	BN8_culture	6	BN	10.444444	-84.00583333	culture	Yes	BN8
220.BUS135_culture	BUS135_culture	11	BUS	8.782922	-82.960249	culture	Yes	BUS135
228.BUS61_culture	BUS61_culture	7	BUS	8.782922	-82.960249	culture	No	BUS61
236.BUS900_culture	BUS900_culture	10	BUS	8.782922	-82.960249	culture	Yes	BUS900
244.BUS91_culture	BUS91_culture	10	BUS	8.782922	-82.960249	culture	Yes	BUS91
252.BUS93_culture	BUS93_culture	7	BUS	8.782922	-82.960249	culture	No	BUS93
260.C1_culture	C1_culture	3	C	25.650555	-80.374443	culture	No	C1
268.C3_culture	C3_culture	2	C	25.650555	-80.374443	culture	No	C3
276.C4_culture	C4_culture	2	C	25.650555	-80.374443	culture	No	C4
284.D1_culture	D1_culture	3	D	26.181227	-81.555852	culture	No	D1
197.D2_culture	D2_culture	6	D	26.181227	-81.555852	culture	Yes	D2
205.D3_culture	D3_culture	11	D	26.181227	-81.555852	culture	Yes	D3
213.D4_culture	D4_culture	9	D	26.181227	-81.555852	culture	Yes	D4
221.D5_culture	D5_culture	7	D	26.181227	-81.555852	culture	Yes	D5
229.E1_culture	E1_culture	8	E	28.55832	-81.639747	culture	Yes	E1
237.E2_culture	E2_culture	5	E	28.55832	-81.639747	culture	Yes	E2
245.E4_culture	E4_culture	8	E	28.55832	-81.639747	culture	Yes	E4
253.E5_culture	E5_culture	8	E	28.55832	-81.639747	culture	Yes	E5
261.G1_culture	G1_culture	8	G	27.917146	-81.999784	culture	Yes	G1
269.G3_culture	G3_culture	7	G	27.917146	-81.999784	culture	No	G3
277.G4_culture	G4_culture	6	G	27.917146	-81.999784	culture	Yes	G4
285.G5_culture	G5_culture	10	G	27.917146	-81.999784	culture	No	G5
198.H1_culture	H1_culture	9	H	28.06434	-82.571465	culture	Yes	H1
206.H2_culture	H2_culture	7	H	28.06434	-82.571465	culture	No	H2
214.H4_culture	H4_culture	7	H	28.06434	-82.571465	culture	No	H4
222.H5_culture	H5_culture	3	H	28.06434	-82.571465	culture	No	H5
230.H6_culture	H6_culture	15	H	28.06434	-82.571465	culture	No	H6
238.H8_culture	H8_culture	10	H	28.06434	-82.571465	culture	No	H8
246.J1_culture	J1_culture	11	J	27.183525	-81.362577	culture	Yes	J1
254.J2_culture	J2_culture	5	J	27.183525	-81.362577	culture	No	J2
262.J5_culture	J5_culture	4	J	27.183525	-81.362577	culture	No	J5
270.MIR107_culture	MIR107_culture	5	MIR	8.68027778	-82.93638889	culture	Yes	MIR107
278.MIR123_culture	MIR123_culture	11	MIR	8.68027778	-82.93638889	culture	Yes	MIR123
286.MIR135_culture	MIR135_culture	10	MIR	8.68027778	-82.93638889	culture	No	MIR135
199.MIR138_culture	MIR138_culture	14	MIR	8.68027778	-82.93638889	culture	Yes	MIR138
207.MIR216_culture	MIR216_culture	9	MIR	8.68027778	-82.93638889	culture	No	MIR216
293.N1_culture	N1_culture	2	N	30.747062	-82.070194	culture	No	N1
294.N2_culture	N2_culture	1	N	30.747062	-82.070194	culture	No	N2
215.N5_culture	N5_culture	NA	N	30.747062	-82.070194	culture	No	N5
223.O4_culture	O4_culture	9	O	31.097712	-81.728047	culture	Yes	O4
231.O6_culture	O6_culture	13	O	31.097712	-81.728047	culture	Yes	O6
239.O7_culture	O7_culture	9	O	31.097712	-81.728047	culture	Yes	O7
247.O9_culture	O9_culture	9	O	31.097712	-81.728047	culture	Yes	O9
255.P2_culture	P2_culture	5	P	31.46366	-81.364939	culture	Yes	P2
263.Q1_culture	Q1_culture	5	Q	32.305494	-81.044083	culture	Yes	Q1
271.Q3_culture	Q3_culture	4	Q	32.305494	-81.044083	culture	No	Q3
279.Q4_culture	Q4_culture	6	Q	32.305494	-81.044083	culture	No	Q4
287.Q6_culture	Q6_culture	5	Q	32.305494	-81.044083	culture	No	Q6
200.Q7_culture	Q7_culture	7	Q	32.305494	-81.044083	culture	Yes	Q7
208.Q9_culture	Q9_culture	9	Q	32.305494	-81.044083	culture	Yes	Q9
216.R1_culture	R1_culture	5	R	32.302081	-81.775907	culture	No	R1
224.R2_culture	R2_culture	11	R	32.302081	-81.775907	culture	No	R2
232.R6_culture	R6_culture	5	R	32.302081	-81.775907	culture	Yes	R6
240.R7_culture	R7_culture	9	R	32.302081	-81.775907	culture	Yes	R7
248.R9_culture	R9_culture	8	R	32.302081	-81.775907	culture	No	R9
256.S1_culture	S1_culture	14	S	36.516111	-78.73027778	culture	Yes	S1
264.S2_culture	S2_culture	13	S	36.516111	-78.73027778	culture	No	S2
272.S3_culture	S3_culture	16	S	36.516111	-78.73027778	culture	Yes	S3
280.S4_culture	S4_culture	NA	S	36.516111	-78.73027778	culture	No	S4
289.S6_culture	S6_culture	6	S	36.516111	-78.73027778	culture	No	S6
297.S7_culture	S7_culture	23	S	36.516111	-78.73027778	culture	Yes	S7
305.S8_culture	S8_culture	9	S	36.516111	-78.73027778	culture	Yes	S8
313.S9_culture	S9_culture	12	S	36.516111	-78.73027778	culture	No	S9
381.single_BA3_culture	single_BA3_culture	1	BA	38.63593	-77.539996	culture	No	BA3
365.single_BI9_culture	single_BI9_culture	1	BI	10.341746	-85.364976	culture	No	BI9
317.single_D3_culture	single_D3_culture	1	D	26.181227	-81.555852	culture	Yes	D3
325.single_H8_culture	single_H8_culture	1	H	28.06434	-82.571465	culture	No	H8
333.single_K2_culture	single_K2_culture	1	K	29.334928	-81.109401	culture	No	K2
341.single_Q2_culture	single_Q2_culture	1	Q	32.305494	-81.044083	culture	No	Q2
349.single_Q6_culture	single_Q6_culture	1	Q	32.305494	-81.044083	culture	Yes	Q6
288.single_S5_culture	single_S5_culture	1	S	36.516111	-78.73027778	culture	No	S5
373.single_STH1_culture	single_STH1_culture	1	STH	9.483609	-84.14139	culture	No	STH1
357.single_T3_culture	single_T3_culture	1	T	35.979398	-79.001465	culture	No	T3
321.STH1_culture	STH1_culture	15	STH	9.483609	-84.14139	culture	Yes	STH1
329.STH10_culture	STH10_culture	11	STH	9.483609	-84.14139	culture	Yes	STH10
337.STH11_culture	STH11_culture	11	STH	9.483609	-84.14139	culture	Yes	STH11
345.STH2_culture	STH2_culture	3	STH	9.483609	-84.14139	culture	Yes	STH2
353.STH23_culture	STH23_culture	11	STH	9.483609	-84.14139	culture	Yes	STH23
361.STH8_culture	STH8_culture	7	STH	9.483609	-84.14139	culture	Yes	STH8
369.T1_culture	T1_culture	6	T	35.979398	-79.001465	culture	No	T1
377.T11_culture	T11_culture	12	T	35.979398	-79.001465	culture	No	T11
290.T2_culture	T2_culture	3	T	35.979398	-79.001465	culture	No	T2
298.T7_culture	T7_culture	4	T	35.979398	-79.001465	culture	No	T7
306.T8_culture	T8_culture	10	T	35.979398	-79.001465	culture	No	T8
314.T9_culture	T9_culture	8	T	35.979398	-79.001465	culture	No	T9
322.U11_culture	U11_culture	6	U	35.901342	-78.946285	culture	Yes	U11
330.U13_culture	U13_culture	3	U	35.901342	-78.946285	culture	Yes	U13
338.U15_culture	U15_culture	5	U	35.901342	-78.946285	culture	No	U15
346.U16_culture	U16_culture	3	U	35.901342	-78.946285	culture	Yes	U16
354.U17_culture	U17_culture	2	U	35.901342	-78.946285	culture	No	U17
362.U18_culture	U18_culture	9	U	35.901342	-78.946285	culture	Yes	U18
370.U19_culture	U19_culture	3	U	35.901342	-78.946285	culture	No	U19
378.U4_culture	U4_culture	4	U	35.901342	-78.946285	culture	No	U4
291.U5_culture	U5_culture	3	U	35.901342	-78.946285	culture	No	U5
299.U6_culture	U6_culture	12	U	35.901342	-78.946285	culture	Yes	U6
307.U7_culture	U7_culture	4	U	35.901342	-78.946285	culture	Yes	U7
315.U9_culture	U9_culture	5	U	35.901342	-78.946285	culture	Yes	U9
323.V1_culture	V1_culture	4	V	35.514389	-78.957078	culture	No	V1
331.V4_culture	V4_culture	5	V	35.514389	-78.957078	culture	Yes	V4
339.V5_culture	V5_culture	5	V	35.514389	-78.957078	culture	No	V5
347.V7_culture	V7_culture	8	V	35.514389	-78.957078	culture	No	V7
355.V9_culture	V9_culture	9	V	35.514389	-78.957078	culture	No	V9
363.W1_culture	W1_culture	4	W	35.077655	-79.559147	culture	No	W1
371.W2_culture	W2_culture	5	W	35.077655	-79.559147	culture	No	W2
379.W5_culture	W5_culture	3	W	35.077655	-79.559147	culture	No	W5
292.W6_culture	W6_culture	3	W	35.077655	-79.559147	culture	No	W6
300.X10_culture	X10_culture	14	X	35.108086	-79.718977	culture	Yes	X10
308.X2_culture	X2_culture	7	X	35.108086	-79.718977	culture	No	X2
316.X3_culture	X3_culture	6	X	35.108086	-79.718977	culture	No	X3
324.X6_culture	X6_culture	3	X	35.108086	-79.718977	culture	No	X6
332.X8_culture	X8_culture	8	X	35.108086	-79.718977	culture	No	X8
340.Y10_culture	Y10_culture	5	Y	38.269308	-77.206498	culture	No	Y10
348.Y11_culture	Y11_culture	4	Y	38.269308	-77.206498	culture	No	Y11
356.Y4_culture	Y4_culture	13	Y	38.269308	-77.206498	culture	Yes	Y4
364.Y5_culture	Y5_culture	10	Y	38.269308	-77.206498	culture	Yes	Y5
372.Y6_culture	Y6_culture	9	Y	38.269308	-77.206498	culture	No	Y6
380.Y8_culture	Y8_culture	11	Y	38.269308	-77.206498	culture	Yes	Y8
301.Z2_culture	Z2_culture	5	Z	38.600637	-77.490228	culture	No	Z2
309.Z9_culture	Z9_culture	6	Z	38.600637	-77.490228	culture	Yes	Z9
105.A11_super	A11_super	4	A	26.925556	-82.335281	field	Yes	A11
113.A7_super	A7_super	3	A	26.925556	-82.335281	field	Yes	A7
121.A8_super	A8_super	2	A	26.925556	-82.335281	field	Yes	A8
129.A9_super	A9_super	3	A	26.925556	-82.335281	field	Yes	A9
137.BG1_super	BG1_super	12	BG	10.345278	-85.33861111	field	Yes	BG1
145.BG3_super	BG3_super	6	BG	10.345278	-85.33861111	field	Yes	BG3
153.BG4_super	BG4_super	14	BG	10.345278	-85.33861111	field	Yes	BG4
161.BG5_super	BG5_super	8	BG	10.345278	-85.33861111	field	Yes	BG5
169.BG9_super	BG9_super	13	BG	10.345278	-85.33861111	field	Yes	BG9
177.BI2_super	BI2_super	8	BI	10.341746	-85.364976	field	Yes	BI2
185.BI3_super	BI3_super	12	BI	10.341746	-85.364976	field	Yes	BI3
098.BI9_super	BI9_super	13	BI	10.341746	-85.364976	field	Yes	BI9
106.BJ4_super	BJ4_super	12	BJ	10.346475	-85.358367	field	Yes	BJ4
114.BL1_super	BL1_super	12	BL	10.358333	-85.3202778	field	Yes	BL1
122.BL5_super	BL5_super	9	BL	10.358333	-85.3202778	field	Yes	BL5
130.BL6_super	BL6_super	7	BL	10.358333	-85.3202778	field	Yes	BL6
138.BL7_super	BL7_super	9	BL	10.358333	-85.3202778	field	Yes	BL7
146.BM2_super	BM2_super	6	BM	10.442222	-84.00638889	field	Yes	BM2
154.BM5_super	BM5_super	9	BM	10.442222	-84.00638889	field	Yes	BM5
162.BN1_super	BN1_super	10	BN	10.444444	-84.00583333	field	Yes	BN1
170.BN3_super	BN3_super	9	BN	10.444444	-84.00583333	field	Yes	BN3
178.BN4_super	BN4_super	12	BN	10.444444	-84.00583333	field	Yes	BN4
186.BN5_super	BN5_super	8	BN	10.444444	-84.00583333	field	Yes	BN5
099.BN8_super	BN8_super	6	BN	10.444444	-84.00583333	field	Yes	BN8
107.BUS135_super	BUS135_super	11	BUS	8.782922	-82.960249	field	Yes	BUS135
115.BUS900_super	BUS900_super	10	BUS	8.782922	-82.960249	field	Yes	BUS900
123.BUS91_super	BUS91_super	10	BUS	8.782922	-82.960249	field	Yes	BUS91
131.D2_super	D2_super	6	D	26.181227	-81.555852	field	Yes	D2
139.D3_super	D3_super	11	D	26.181227	-81.555852	field	Yes	D3
147.D4_super	D4_super	9	D	26.181227	-81.555852	field	Yes	D4
155.D5_super	D5_super	7	D	26.181227	-81.555852	field	Yes	D5
163.E1_super	E1_super	8	E	28.55832	-81.639747	field	Yes	E1
171.E2_super	E2_super	5	E	28.55832	-81.639747	field	Yes	E2
179.E3_super	E3_super	4	E	28.55832	-81.639747	field	No	E3
187.E4_super	E4_super	8	E	28.55832	-81.639747	field	Yes	E4
100.E5_super	E5_super	8	E	28.55832	-81.639747	field	Yes	E5
108.G1_super	G1_super	8	G	27.917146	-81.999784	field	Yes	G1
116.G4_super	G4_super	10	G	27.917146	-81.999784	field	Yes	G4
124.H1_super	H1_super	9	H	28.06434	-82.571465	field	Yes	H1
132.H3_super	H3_super	10	H	28.06434	-82.571465	field	No	H3
140.J1_super	J1_super	11	J	27.183525	-81.362577	field	Yes	J1
148.K3_super	K3_super	3	K	29.334928	-81.109401	field	No	K3
156.K4_super	K4_super	5	K	29.334928	-81.109401	field	No	K4
164.L7_super	L7_super	6	L	30.278857	-81.512139	field	No	L7
172.M1_super	M1_super	2	M	30.541895	-81.929114	field	No	M1
180.M2_super	M2_super	6	M	30.541895	-81.929114	field	No	M2
188.MIR107_super	MIR107_super	5	MIR	8.68027778	-82.93638889	field	Yes	MIR107
101.MIR123_super	MIR123_super	11	MIR	8.68027778	-82.93638889	field	Yes	MIR123
109.MIR138_super	MIR138_super	14	MIR	8.68027778	-82.93638889	field	Yes	MIR138
117.N3_super	N3_super	2	N	30.747062	-82.070194	field	No	N3
125.O1_super	O1_super	10	O	31.097712	-81.728047	field	No	O1
133.O10_super	O10_super	8	O	31.097712	-81.728047	field	No	O10
141.O11_super	O11_super	11	O	31.097712	-81.728047	field	No	O11
149.O3_super	O3_super	12	O	31.097712	-81.728047	field	No	O3
157.O4_super	O4_super	9	O	31.097712	-81.728047	field	Yes	O4
165.O6_super	O6_super	13	O	31.097712	-81.728047	field	Yes	O6
173.O7_super	O7_super	9	O	31.097712	-81.728047	field	Yes	O7
181.O8_super	O8_super	12	O	31.097712	-81.728047	field	No	O8
189.O9_super	O9_super	9	O	31.097712	-81.728047	field	Yes	O9
102.P2_super	P2_super	5	P	31.46366	-81.364939	field	Yes	P2
110.P6_super	P6_super	3	P	31.46366	-81.364939	field	No	P6
118.P7_super	P7_super	3	P	31.46366	-81.364939	field	No	P7
126.Q1_super	Q1_super	5	Q	32.305494	-81.044083	field	Yes	Q1
134.Q7_super	Q7_super	7	Q	32.305494	-81.044083	field	Yes	Q7
142.Q9_super	Q9_super	9	Q	32.305494	-81.044083	field	Yes	Q9
150.R6_super	R6_super	5	R	32.302081	-81.775907	field	Yes	R6
158.R7_super	R7_super	9	R	32.302081	-81.775907	field	Yes	R7
166.S1_super	S1_super	14	S	36.516111	-78.73027778	field	Yes	S1
174.S3_super	S3_super	16	S	36.516111	-78.73027778	field	Yes	S3
182.S7_super	S7_super	23	S	36.516111	-78.73027778	field	Yes	S7
190.S8_super	S8_super	9	S	36.516111	-78.73027778	field	Yes	S8
160.single_D3_super	single_D3_super	1	D	26.181227	-81.555852	field	Yes	D3
168.single_P9_super	single_P9_super	1	P	31.46366	-81.364939	field	No	P9
176.single_Q6_super	single_Q6_super	1	Q	32.305494	-81.044083	field	Yes	Q6
103.STH1_super	STH1_super	15	STH	9.483609	-84.14139	field	Yes	STH1
111.STH10_super	STH10_super	11	STH	9.483609	-84.14139	field	Yes	STH10
119.STH11_super	STH11_super	11	STH	9.483609	-84.14139	field	Yes	STH11
127.STH2_super	STH2_super	3	STH	9.483609	-84.14139	field	Yes	STH2
135.STH23_super	STH23_super	11	STH	9.483609	-84.14139	field	Yes	STH23
143.STH8_super	STH8_super	7	STH	9.483609	-84.14139	field	Yes	STH8
151.U11_super	U11_super	6	U	35.901342	-78.946285	field	Yes	U11
159.U13_super	U13_super	3	U	35.901342	-78.946285	field	Yes	U13
167.U16_super	U16_super	3	U	35.901342	-78.946285	field	Yes	U16
175.U18_super	U18_super	9	U	35.901342	-78.946285	field	Yes	U18
183.U6_super	U6_super	12	U	35.901342	-78.946285	field	Yes	U6
191.U7_super	U7_super	4	U	35.901342	-78.946285	field	Yes	U7
104.U9_super	U9_super	5	U	35.901342	-78.946285	field	Yes	U9
112.V4_super	V4_super	5	V	35.514389	-78.957078	field	Yes	V4
120.X10_super	X10_super	14	X	35.108086	-79.718977	field	Yes	X10
128.Y4_super	Y4_super	13	Y	38.269308	-77.206498	field	Yes	Y4
136.Y5_super	Y5_super	10	Y	38.269308	-77.206498	field	Yes	Y5
144.Y8_super	Y8_super	11	Y	38.269308	-77.206498	field	Yes	Y8
152.Z9_super	Z9_super	6	Z	38.600637	-77.490228	field	Yes	Z9